Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:21,90040632,3,3,3,0,1,1,1,0,0,0,0,0,0.033318291,0.066636582,1.80E+07,2.47E+07,4.50E+07,3024,9.00E+07,4.50E+07,1445.326261,4.50E+07,4.50E+07,9.00E+07,4.50E+07,3361.585638,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033318291,0.033318291,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64240,64240,2,20,7919,3585.031381,10454,5384,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:23,19352873,2,1,1,0,1,0,0.5,0.707106781,0,0,0,0,0.051671915,0.155015744,9676436.5,1.37E+07,1.93E+07,4166,1.94E+07,1.94E+07,0,1.94E+07,1.94E+07,0,0,0,0,0,0,0,0,0,40,20,0.103343829,0.051671915,0,1,0.5,0.577350269,0.333333333,1,0,0,0,3,0,0,0,0,0.666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,64240,64240,0,20,4166,0,4166,4166,8.15E+14,1.15E+15,1.63E+15,1.93E+07,normal
192.168.1.4-104.122.3.212-57612-443-6,192.168.1.4,57612,104.122.3.212,443,6,3/9/2021 10:23,855,2,0,0,0,0,0,0,0,0,0,0,0,0,2339.181287,855,0,855,855,855,855,0,855,855,0,0,0,0,0,0,0,0,0,40,0,2339.181287,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.16.89.20-63688-443-6,192.168.1.4,63688,104.16.89.20,443,6,3/9/2021 10:18,62038509,8,6,582,2654,517,0,72.75,180.8888767,1460,0,442.3333333,579.6528846,52.16115042,0.225666287,4772193,1.29E+07,4.50E+07,984,6.20E+07,8862644.143,1.71E+07,4.50E+07,1269,313501,62700.2,76670.31423,163702,3412,0,0,0,0,172,124,0.128952164,0.096714123,0,1460,215.7333333,416.3800576,173372.3524,1,2,0,4,13,0,0,0,0,231.1428571,72.75,442.3333333,0,0,0,3235,5,10458,0,41,0,189,64240,64240,3,20,486313,0,486313,486313,5.44E+14,9.41E+14,1.63E+15,1.66E+07,normal
192.168.1.4-104.16.89.20-58808-443-6,192.168.1.4,58808,104.16.89.20,443,6,3/9/2021 10:18,90554231,15,19,1137,12536,517,0,75.8,164.8350691,1460,0,659.7894737,682.4716176,150.9923926,0.375465615,2744067.606,1.09E+07,4.50E+07,778,9.06E+07,6467923.643,1.63E+07,4.50E+07,783,9.04E+07,5023829.5,2.12E+07,9.00E+07,778,0,0,0,0,312,384,0.165646595,0.20981902,0,1460,390.6571429,588.6188691,346472.1731,0,2,0,15,33,0,0,0,1,402.1470588,75.8,659.7894737,0,0,0,13671,17,33165,0,33,0,368,64240,64240,7,20,592592,0,592592,592592,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.89.20-58808-443-6,192.168.1.4,58808,104.16.89.20,443,6,3/9/2021 10:20,90032799,3,3,3,0,1,1,1,0,0,0,0,0,0.03332119,0.06664238,1.80E+07,2.47E+07,4.50E+07,2863,9.00E+07,4.50E+07,2288.904651,4.50E+07,4.50E+07,9.00E+07,4.50E+07,485.7823587,4.50E+07,4.50E+07,0,0,0,0,60,60,0.03332119,0.03332119,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64209,64240,2,20,3397.5,755.8971491,3932,2863,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.89.20-58808-443-6,192.168.1.4,58808,104.16.89.20,443,6,3/9/2021 10:22,90023586,3,3,3,0,1,1,1,0,0,0,0,0,0.0333246,0.0666492,1.80E+07,2.46E+07,4.50E+07,2408,9.00E+07,4.50E+07,2852.468755,4.50E+07,4.50E+07,9.00E+07,4.50E+07,3173.495234,4.50E+07,4.50E+07,0,0,0,0,60,60,0.0333246,0.0333246,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64209,64240,2,20,3622.5,358.5031381,3876,3369,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.89.20-58808-443-6,192.168.1.4,58808,104.16.89.20,443,6,3/9/2021 10:24,2149,2,0,63,0,63,0,31.5,44.54772721,0,0,0,0,29315.96091,930.6654258,2149,0,2149,2149,2149,2149,0,2149,2149,0,0,0,0,0,1,0,0,0,40,0,930.6654258,0,0,63,42,36.37306696,1323,1,0,0,1,2,0,0,0,0,63,31.5,0,0,0,0,0,0,0,1,31,0,0,64240,0,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.16.91.60-50143-443-6,192.168.1.4,50143,104.16.91.60,443,6,3/9/2021 10:26,77004927,9,8,582,5402,517,0,64.66666667,170.9349291,1460,0,675.25,676.8143341,77.70931333,0.220765095,4812807.938,1.33E+07,4.49E+07,899,7.70E+07,9625615.875,1.80E+07,4.49E+07,899,499008,71286.85714,71668.47391,176943,2593,0,0,0,0,192,164,0.116875638,0.103889456,0,1460,332.4444444,549.6674098,302134.2614,1,2,0,6,16,0,0,0,0,352,64.66666667,675.25,0,0,0,5983,7,12297,0,34,0,317,64240,64240,3,20,646126,0,646126,646126,5.44E+14,9.41E+14,1.63E+15,3.15E+07,normal
192.168.1.4-104.16.91.60-58462-443-6,192.168.1.4,58462,104.16.91.60,443,6,3/9/2021 10:26,90840550,15,17,1192,8336,517,0,79.46666667,167.0572471,1460,0,490.3529412,655.8906103,104.8870796,0.352265591,2930340.323,1.12E+07,4.50E+07,698,9.08E+07,6488279.5,1.63E+07,4.50E+07,698,9.07E+07,5669004.875,2.25E+07,9.00E+07,819,0,0,0,0,312,344,0.165124496,0.187141095,0,1460,288.7272727,521.569343,272034.5795,0,2,0,12,31,0,0,0,1,297.75,79.46666667,490.3529412,0,0,0,9526,15,15117,0,37,0,260,64240,64240,8,20,815611,0,815611,815611,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.91.60-58462-443-6,192.168.1.4,58462,104.16.91.60,443,6,3/9/2021 10:28,90030511,3,3,3,0,1,1,1,0,0,0,0,0,0.033322037,0.066644074,1.80E+07,2.47E+07,4.50E+07,2477,9.00E+07,4.50E+07,2541.341772,4.50E+07,4.50E+07,9.00E+07,4.50E+07,1650.387227,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033322037,0.033322037,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64000,64240,2,20,2925.5,382.5447686,3196,2655,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.91.60-58462-443-6,192.168.1.4,58462,104.16.91.60,443,6,3/9/2021 10:30,90032606,3,3,3,0,1,1,1,0,0,0,0,0,0.033321261,0.066642523,1.80E+07,2.46E+07,4.50E+07,3304,9.00E+07,4.50E+07,959.5439021,4.50E+07,4.50E+07,9.00E+07,4.50E+07,1699.884702,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033321261,0.033321261,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,64000,64240,2,20,4198.5,1265.014032,5093,3304,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.16.91.60-58462-443-6,192.168.1.4,58462,104.16.91.60,443,6,3/9/2021 10:32,931,1,1,63,0,63,63,63,0,0,0,0,0,67669.17293,2148.227712,931,0,931,931,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1074.113856,1074.113856,0,63,42,36.37306696,1323,1,0,0,2,2,0,0,0,1,63,63,0,0,0,0,0,0,0,0,31,0,0,64240,64240,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.16.91.60-58462-443-6,192.168.1.4,58462,104.16.91.60,443,6,3/9/2021 10:32,3647,2,1,0,0,0,0,0,0,0,0,0,0,0,822.5939128,1823.5,1567.655734,2932,715,715,715,0,715,715,0,0,0,0,0,0,0,0,0,40,20,548.3959419,274.1979709,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63937,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.101.194-51753-443-6,192.168.1.4,51753,104.18.101.194,443,6,3/9/2021 13:06,73540949,8,6,582,2666,517,0,72.75,180.8888767,1460,0,444.3333333,581.5130838,44.16587009,0.19037013,5656996.077,1.42E+07,4.50E+07,646,7.35E+07,1.05E+07,1.85E+07,4.50E+07,646,63399,12679.8,10857.56201,26289,784,0,0,0,0,172,124,0.108782931,0.081587198,0,1460,216.5333333,417.7717878,174533.2667,1,2,0,4,13,0,0,0,0,232,72.75,444.3333333,0,0,0,3247,5,54989,0,41,0,190,64240,64240,3,20,130893,0,130893,130893,5.44E+14,9.41E+14,1.63E+15,2.84E+07,normal
192.168.1.4-104.18.101.194-49210-443-6,192.168.1.4,49210,104.18.101.194,443,6,3/9/2021 13:06,90258165,12,12,1230,3089,524,0,102.5,197.556206,1460,0,257.4166667,450.680588,47.8516265,0.265903921,3924268.043,1.30E+07,4.50E+07,491,9.03E+07,8204805.818,1.82E+07,4.50E+07,677,9.02E+07,8203044.727,2.71E+07,9.00E+07,491,0,0,0,0,252,244,0.132951961,0.132951961,0,1460,172.76,343.9137828,118276.69,0,2,0,9,23,0,0,0,1,179.9583333,102.5,257.4166667,0,0,0,4317,10,21290,0,51,0,128,64240,64240,7,20,275370,0,275370,275370,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.101.194-49210-443-6,192.168.1.4,49210,104.18.101.194,443,6,3/9/2021 13:08,90021521,3,3,3,0,1,1,1,0,0,0,0,0,0.033325364,0.066650729,1.80E+07,2.46E+07,4.50E+07,2832,9.00E+07,4.50E+07,3143.796749,4.50E+07,4.50E+07,9.00E+07,4.50E+07,106.773124,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033325364,0.033325364,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63304,64240,2,20,4451.5,2290.318864,6071,2832,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.101.194-49210-443-6,192.168.1.4,49210,104.18.101.194,443,6,3/9/2021 13:11,90027427,3,3,3,0,1,1,1,0,0,0,0,0,0.033323178,0.066646357,1.80E+07,2.46E+07,4.50E+07,3145,9.00E+07,4.50E+07,6168.799559,4.50E+07,4.50E+07,9.00E+07,4.50E+07,4770.142346,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033323178,0.033323178,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63304,64240,2,20,4554.5,267.9934701,4744,4365,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.101.194-49210-443-6,192.168.1.4,49210,104.18.101.194,443,6,3/9/2021 13:13,1149,1,1,63,0,63,63,63,0,0,0,0,0,54830.28721,1740.644038,1149,0,1149,1149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,870.3220191,870.3220191,0,63,42,36.37306696,1323,1,0,0,2,2,0,0,0,1,63,63,0,0,0,0,0,0,0,0,31,0,0,64240,64240,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.101.194-49210-443-6,192.168.1.4,49210,104.18.101.194,443,6,3/9/2021 13:13,4333,2,1,0,0,0,0,0,0,0,0,0,0,0,692.3609508,2166.5,1574.726802,3280,1053,1053,1053,0,1053,1053,0,0,0,0,0,0,0,0,0,40,20,461.5739672,230.7869836,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63241,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.11.39-60033-80-6,192.168.1.4,60033,104.18.11.39,80,6,3/9/2021 10:17,61663608,6,8,142,3920,142,0,23.66666667,57.97125725,1460,0,490,637.2261316,65.8735376,0.227038288,4743354.462,1.68E+07,6.07E+07,793,933215,186643,143380.8734,354654,793,6.13E+07,8759457.714,2.29E+07,6.07E+07,984,0,0,0,0,132,168,0.097302123,0.129736165,0,1460,270.8,512.9309617,263098.1714,1,3,0,5,13,0,0,0,1,290.1428571,23.66666667,490,0,0,0,4062,5,7049,0,10,0,280,64240,64239,1,20,933215,0,933215,933215,8.15E+14,1.15E+15,1.63E+15,6.07E+07,normal
192.168.1.4-104.18.11.79-50886-443-6,192.168.1.4,50886,104.18.11.79,443,6,3/9/2021 10:24,85532996,8,7,611,4221,517,0,76.375,180.9790339,1460,0,603,691.8995592,56.49281828,0.175370918,6109499.714,1.53E+07,4.50E+07,1526,8.55E+07,1.22E+07,2.05E+07,4.50E+07,161727,1214557,202426.1667,200036.5563,447274,3769,0,0,0,0,172,144,0.093531156,0.081839762,0,1460,302,531.3058128,282285.8667,1,2,0,6,14,0,0,0,0,322.1333333,76.375,603,0,0,0,4831,6,6252,0,40,0,281,64240,64240,3,20,1377257,0,1377257,1377257,5.44E+14,9.41E+14,1.63E+15,3.91E+07,normal
192.168.1.4-104.18.11.79-64867-443-6,192.168.1.4,64867,104.18.11.79,443,6,3/9/2021 10:24,90850366,9,9,656,2648,517,0,72.88888889,169.8237649,1460,0,294.2222222,553.1723913,36.36749245,0.198127986,5344139.176,1.49E+07,4.50E+07,912,9.08E+07,1.14E+07,2.08E+07,4.50E+07,16093,9.07E+07,1.13E+07,3.18E+07,9.00E+07,912,0,0,0,0,192,184,0.099063993,0.099063993,0,1460,173.8947368,403.5320302,162838.0994,0,2,0,8,17,0,0,0,1,183.5555556,72.88888889,294.2222222,0,0,0,3302,8,5167,0,36,0,147,64240,64240,5,20,879647,0,879647,879647,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.11.79-64867-443-6,192.168.1.4,64867,104.18.11.79,443,6,3/9/2021 10:26,90055883,3,3,3,0,1,1,1,0,0,0,0,0,0.033312649,0.066625298,1.80E+07,2.47E+07,4.50E+07,2999,9.01E+07,4.50E+07,1869.590329,4.50E+07,4.50E+07,9.01E+07,4.50E+07,13676.85936,4.50E+07,4.50E+07,0,0,0,0,60,60,0.033312649,0.033312649,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63539,64240,2,20,8686,8042.632529,14373,2999,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.11.79-64867-443-6,192.168.1.4,64867,104.18.11.79,443,6,3/9/2021 10:29,90025747,3,3,3,0,1,1,1,0,0,0,0,0,0.0333238,0.0666476,1.80E+07,2.46E+07,4.50E+07,3388,9.00E+07,4.50E+07,3437.95317,4.50E+07,4.50E+07,9.00E+07,4.50E+07,1998.283764,4.50E+07,4.50E+07,0,0,0,0,60,60,0.0333238,0.0333238,0,1,0.571428571,0.534522484,0.285714286,0,0,0,0,6,0,0,0,1,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,63539,64240,2,20,4245.5,1212.68813,5103,3388,5.44E+14,9.41E+14,1.63E+15,4.50E+07,normal
192.168.1.4-104.18.11.79-64867-443-6,192.168.1.4,64867,104.18.11.79,443,6,3/9/2021 10:31,926,1,1,77,0,77,77,77,0,0,0,0,0,83153.34773,2159.827214,926,0,926,926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,1079.913607,1079.913607,0,77,51.33333333,44.45597073,1976.333333,1,0,0,2,2,0,0,0,1,77,77,0,0,0,0,0,0,0,0,38,0,0,64240,64240,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.11.79-64867-443-6,192.168.1.4,64867,104.18.11.79,443,6,3/9/2021 10:31,3623,2,1,0,0,0,0,0,0,0,0,0,0,0,828.0430582,1811.5,1457.347076,2842,781,781,781,0,781,781,0,0,0,0,0,0,0,0,0,40,20,552.0287055,276.0143527,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63462,64239,0,20,0,0,0,0,1.63E+15,0,1.63E+15,1.63E+15,normal
192.168.1.4-104.18.12.5-64478-443-6,192.168.1.4,64478,104.18.12.5,443,6,3/9/2021 10:26,76990275,9,7,582,3177,517,0,64.66666667,170.9349291,1460,0,453.8571429,529.8089054,48.82434827,0.207818455,5132685,1.36E+07,4.49E+07,819,7.70E+07,9623784.375,1.80E+07,4.49E+07,819,587672,97945.33333,85396.40664,203966,2704,0,0,0,0,192,144,0.116897881,0.090920574,0,1460,221.1176471,400.4913985,160393.3603,1,2,0,5,15,0,0,0,0,234.9375,64.66666667,453.8571429,0,0,0,3758,6,6446,0,36,0,198,64240,64240,3,20,774716,0,774716,774716,5.44E+14,9.41E+14,1.63E+15,3.13E+07,normal
